year,month,site_code,product_code,predicted_value
2019,10,C4001,AS27134,9.0
2019,10,C4001,AS27132,3.0
2019,10,C4001,AS27000,10.0
2019,10,C4001,AS27137,3.0
2019,10,C4001,AS27138,3.0
2019,10,C4001,AS27133,40.0
2019,10,C4023,AS27000,13.0
2019,10,C4023,AS27133,38.0
2019,11,C4023,AS27000,13.0
2019,11,C4023,AS27133,38.0
2019,11,C4001,AS27134,9.0
2019,11,C4001,AS27132,3.0
2019,11,C4001,AS27000,10.0
2019,11,C4001,AS27137,3.0
2019,11,C4001,AS27138,3.0
2019,11,C4001,AS27133,40.0
2019,12,C4001,AS27134,9.0
2019,12,C4001,AS27132,3.0
2019,12,C4001,AS27000,10.0
2019,12,C4001,AS27137,3.0
2019,12,C4001,AS27138,3.0
2019,12,C4001,AS27133,40.0
2019,12,C4023,AS27000,13.0
2019,12,C4023,AS27133,38.0
2019,10,C1080,AS42018,13.0
2019,10,C1080,AS21126,9.0
2019,10,C1080,AS27134,16.0
2019,10,C1080,AS27132,13.0
2019,10,C1080,AS27000,196.0
2019,10,C1080,AS27137,13.0
2019,10,C1080,AS27138,13.0
2019,10,C1080,AS27133,89.0
2019,10,C1063,AS21126,1.0
2019,10,C1063,AS42018,3.0
2019,10,C1063,AS46000,1.0
2019,10,C1063,AS17005,3.0
2019,10,C1063,AS27134,10.0
2019,10,C1063,AS27132,3.0
2019,10,C1063,AS27000,3.0
2019,10,C1063,AS27139,1.0
2019,10,C1063,AS27137,3.0
2019,10,C1063,AS27138,3.0
2019,10,C1063,AS27133,35.0
2019,10,C1010,AS27134,6.0
2019,10,C1010,AS27132,5.0
2019,10,C1010,AS27000,14.0
2019,10,C1010,AS27137,5.0
2019,10,C1010,AS27138,5.0
2019,10,C1010,AS27133,68.0
2019,10,C1066,AS27134,29.0
2019,10,C1066,AS27132,10.0
2019,10,C1066,AS27000,44.0
2019,10,C1066,AS27137,10.0
2019,10,C1066,AS27138,10.0
2019,10,C1066,AS27133,82.0
2019,10,C1026,AS27134,6.0
2019,10,C1026,AS27132,14.0
2019,10,C1026,AS27000,62.0
2019,10,C1026,AS27137,14.0
2019,10,C1026,AS27138,14.0
2019,10,C1026,AS27133,30.0
2019,10,C1011,AS21126,4.0
2019,10,C1011,AS46000,3.0
2019,10,C1011,AS27134,7.0
2019,10,C1011,AS27132,9.0
2019,10,C1011,AS27000,13.0
2019,10,C1011,AS27139,2.0
2019,10,C1011,AS27137,9.0
2019,10,C1011,AS27138,9.0
2019,10,C1011,AS27133,67.0
